taxonID,family,familyVernacularName,scientificName,vernacularName,code,isEndemic,iucnCategory,source,GBIF_name,GBIF_code
1219,Berberidaceae,小檗科,Berberis morrisonensis Hayata,玉山小檗,SP57,1,LC,原生,Berberis morrisonensis,12
1408,Brassicaceae,十字花科,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz subsp. kamchatica (Fisch. ex DC.) Hult?n,玉山筷子芥,SP58,0,LC,原生,Arabidopsis lyrata kamchatica,7
3451,Caprifoliaceae,忍冬科,Scabiosa lacerifolia Hayata,玉山山蘿蔔,SP59,1,LC,原生,Scabiosa lacerifolia,77
1065,Caryophyllaceae,石竹科,Arenaria takasagomontana (Masam.) S.S.Ying,高山無心菜,SP60,1,LC,原生,Arenaria takasagomontana,8
1075,Caryophyllaceae,石竹科,Dianthus pygmaeus Hayata,玉山石竹,SP61,1,VU,原生,Dianthus pygmaeus,28
1470,Crassulaceae,景天科,Sedum morrisonense Hayata,玉山佛甲草,SP62,1,LC,原生,Sedum morrisonense,78
2610,Ericaceae,杜鵑花科,Gaultheria itoana Hayata,高山白珠樹,SP63,0,LC,原生,Gaultheria itoana,39
2613,Ericaceae,杜鵑花科,Pieris taiwanensis Hayata,臺灣馬醉木,SP64,0,LC,原生,Pieris taiwanensis,64
2629,Ericaceae,杜鵑花科,Rhododendron pseudochrysanthum Hayata,玉山杜鵑,SP65,1,LC,原生,Rhododendron pseudochrysanthum,71
2630,Ericaceae,杜鵑花科,Rhododendron rubropilosum Hayata var. rubropilosum,紅毛杜鵑,SP66,1,LC,原生,Rhododendron rubropilosum,72
2784,Gentianaceae,龍膽科,Gentiana arisanensis Hayata,阿里山龍膽,SP67,1,LC,原生,Gentiana arisanensis,40
2786,Gentianaceae,龍膽科,Gentiana davidii var. formosana (Hayata) T.N. Ho,臺灣龍膽,SP68,0,LC,原生,Gentiana davidii var. formosana,41
2787,Gentianaceae,龍膽科,Gentiana flavomaculata Hayata var. flavomaculata,黃斑龍膽,SP69,1,LC,原生,Gentiana flavomaculata,42
2794,Gentianaceae,龍膽科,Gentiana scabrida Hayata,玉山龍膽,SP70,1,LC,原生,Gentiana scabrida var. punctulata,43
2795,Gentianaceae,龍膽科,Gentiana scabrida var. punctulata S.S.Ying,黑斑龍膽,SP71,1,LC,原生,Gentiana scabrida,44
2805,Gentianaceae,龍膽科,Swertia macrosperma (C.B. Clarke) C.B. Clarke,大籽當藥,SP72,0,LC,原生,Swertia macrosperma,85
1901,Geraniaceae,牻牛兒苗科,Geranium hayatanum Ohwi,單花牻牛兒苗,SP73,1,LC,原生,Geranium hayatanum,45
1498,Grossulariaceae,茶藨子科,Ribes formosanum Hayata,臺灣茶藨子,SP74,1,LC,原生,Ribes formosanum,73
1369,Hypericaceae,金絲桃科,Hypericum nagasawae Hayata,玉山金絲桃,SP75,1,LC,原生,Hypericum nagasawae,51
3157,Lamiaceae,唇形科,Origanum vulgare L.,野薄荷,SP76,0,LC,原生,Origanum vulgare,61
3400,Orobanchaceae,列當科,Boschniakia himalaica Hook. f. & Thomson,丁座草,SP77,0,LC,原生,Boschniakia himalaica,13
3255,Orobanchaceae,列當科,Euphrasia transmorrisonensis Hayata var. transmorrisonensis,玉山小米草,SP78,1,LC,原生,Euphrasia transmorrisonensis,35
3314,Plantaginaceae,車前科,Veronica morrisonicola Hayata,玉山水苦藚,SP79,1,LC,原生,Veronica morrisonicola,89
2079,Polygalaceae,遠志科,Polygala japonica Houtt.,瓜子金,SP80,0,LC,原生,Polygala japonica,68
1177,Ranunculaceae,毛茛科,Clematis montana Buch.-Ham. ex DC.,繡球藤,SP81,0,LC,原生,Clematis montana,25
1536,Rosaceae,薔薇科,Potentilla leuconota D.Don,玉山金梅,SP82,0,LC,原生,Potentilla leuconota var. morrisonicola,69
1539,Rosaceae,薔薇科,Potentilla tugitakensis Masam.,雪山翻白草,SP83,1,EN,原生,Potentilla tugitakensis,70
1578,Rosaceae,薔薇科,Rosa transmorrisonensis Hayata,高山薔薇,SP84,0,LC,原生,Rosa transmorrisonensis,74
1610,Rosaceae,薔薇科,Rubus rolfei S. Vidal,高山懸鉤子,SP85,0,NT,原生,Rubus rolfei,75
1624,Rosaceae,薔薇科,Spiraea formosana Hayata,臺灣繡線菊,SP86,1,LC,原生,Spiraea formosana,82
1625,Rosaceae,薔薇科,Spiraea hayatana H.L. Li,假繡線菊,SP87,1,LC,原生,Spiraea hayatana,83
1626,Rosaceae,薔薇科,Spiraea morrisonicola Hayata,玉山繡線菊,SP88,1,LC,原生,Spiraea morrisonicola,84
754,Salicaceae,楊柳科,Salix taiwanalpina var. takasagoalpina (Koidz.) S.S.Ying,高山柳,SP89,1,LC,原生,Salix morrisonicola var. takasagoalpina,76
2335,Violaceae,菫菜科,Viola adenothrix Hayata var. adenothrix,喜岩菫菜,SP90,0,LC,原生,Viola adenothrix,90
